"CO2-Minderung";"Welche CO2-Minderung gegenüber 2020 (wo die CO2-Reduktion etwa 30% gegenüber 1990 betrug) streben Sie unter Ihrer politischen Verantwortung für unsere Stadt als Meilenstein bis 2025 an?";"Reduktion um mindestens 50% bis 2025 (auf 35% zu 1990, Zielpfad gemäß FfF-Studie)";"Reduktion um mindestens 33% bis 2025 (65% gegenüber 1990, linear Klima-neutral bis 2035)";"Reduktion um mindestens 25% bis 2025 (~55% gegenüber 1990, linear Klima-neutral bis 2040)";"Drastische Reduktion, aber im Rahmen der Möglichkeiten erst bis 2030 verbindlich um 50% (65% gegenüber 1990)";"Wir bemühen uns mit allen Kräften um möglichst wirksame Minderung der CO2-Emission auf sämtlichen Ebenen"
"Prioritäten";"Durch die Folgen des Klimawandels werden bereits heute Lebensgrundlagen zerstört. Andererseits besteht durch den Transformationsprozess zur Klimaneutralität die Gefahr, dass Arbeitsplätze verloren gehen und Kosten steigen.";"Die globalen wie lokalen gesellschaftlichen Auswirkungen der Klimakrise müssen schnellstmöglich begrenzt werden. Gleichzeitig müssen wir uns unseren globalen Verantwortung bei den bereits entstandenen Schäden stellen.";"Je schneller Vermeidung der Treibhausgas-Emissionen gelingt, desto geringer sind die gesellschaftlichen Kosten hier wie überall auf der Welt.";"Die Transformation zur Klimaneutralität birgt auch Chancen für neue Arbeitsplätze in Deutschland.";"Der Übergang zur Klimaneutralität darf nicht zu Lasten unserer Mitbürger gehen.";"Der Erhalt von Arbeitsplätzen und die Vermeidung inflationärer Tendenzen haben Vorrang."
"Flächenverteilung";"Derzeit sind in Göttingen von 1163 ha Verkehrsfläche nur etwa 19 ha ausschließlich für Fahrräder, 4 ha für Fussgängerzonen und vielleicht 1 ha für Busspuren genutzt (GöSiS Zahlen, Daten, Fakten 2020). Insgesamt sind dies nur etwa zwei Prozent der gesamten Verkehrsfläche.";"Für die Senkung der CO2-Bilanz im Verkehr muss mehr Platz für Radverkehr und ÖPNV auch durch die Sperrung von Spuren und Umwidmung von Strassen in Radstrassen und Fussgängerbereiche geschaffen werden. Parkraum muss eher Carsharing-Systemen vorbehalten bleiben.";"Für Radverkehr und ÖPNV ist mehr Platz zu schaffen, wenn nötig und möglich auch zu Lasten des motorisierten Individualverkehr.";"Ein ausgewogener Modal Split aller Verkehrsteilnehmer öffnet die Perspektive für eine mobile und klimafreundliche Zukunft des Verkehrs.";"Die verschiedenen Mobilitätsbedarfe aller Menschen ist anzuerkennen. Für den Radverkehr müssen gegebenenfalls alternative Routen geschaffen werden.";"Der motorisierte, zunehmend elektrifizierte Individualverkehr ist unverzichtbar. Der Anteil der Verkehrsfläche dafür darf sich nicht verringern."
"Stärkung des ÖPNV";"Welche Stärkung des ÖPNV streben Sie unter Ihrer Verantwortung durch eine Steigerung der jährlichen Förderung aus dem städtischen Haushalt an?";"Ambitionierte ÖV-Offensive: Steigerung der kommunalen Förderung auf über 30 Mio.€ jährlich + Gutachten zur Prüfung der Möglichkeiten zum Bau einer Regio-Tram, Stadtbahn, City-Seilbahnen o.ä.";"Verdoppelung der öffentlichen Verkehrsleistung mit Steigerung der kommunalen Förderung auf min. 25 Mio.€ jährlich";"Steigerung der öffentlichen Verkehrsleistung um ca. 50% mit min. 20 Mio € jährliche kommunale Förderung";"sofortige Umsetzung der im Nahverkehrsplan vorgeschlagenen Taktverdichtungen (≈ 15 Mio.€ jährliche Förderung)";"Wir bemühen uns mit allen Kräften um verbesserte Attraktivität & Taktverdichtung im Rahmen des Möglichen und werden dafür Förderprogramme von Bund und Land ausschöpfen."
"EE Ausbau";"Bis 2025 streben wir auch für unsere Stadt einen Ausbau der erneuerbaren Energieerzeugung an:";"auf über 300 GWh/a, inkl. Errichtung von 20~30 Windkraftanlagen (gesamt ≈ 100MW) als weithin sichtbares Bekenntnis zur notwendigen Energiewende auch auf den Bergkämmen beiderseits des Göttinger Leinetals!";"auf über 200 GWh/a, inkl. kommunaler Beteiligung an neu errichteten Windkraftanlagen in der Region sowie mit großen Solarflächen, auch als innovative Überdachung von Radwegen & Plätzen.";"auf über 100 GWh/a, mit Solarsatzung verpflichten für alle Dächer & Fassaden beim Neubau und mit Mieterstrom-Angebot für Bestandsgebäude.";"Mit Gründung einer Göttinger Bürgerenergie-Genossenschaft finanziert, werden wir Photovoltaik auf allen Dächern & Fassaden öffentlicher Gebäude realisieren und so als beispielhafter Vorreiter auch Investitionen privater Bauträger ermutigen.";"Wir appellieren an alle Bürger, massiv in Photovoltaik zu investieren und setzen uns für verstärkten Ausbau von Stromleitungen ein, um Windstrom aus dem Norden auch nach Göttingen zu leiten und danach so bald wie möglich konsequent aus Kohle- und Atomkraft auszusteigen."
"Industrie";"Die Industrie in Göttingen hatte 2018 einen Anteil von 37% an den Treibhausgas-Emissionen in Göttingen, mit steigender Tendenz. Wie wollen Sie in diesem Handlungsfeld die Emissionen senken?";"Die Göttinger Industriebetriebe werden von der Stadt zur Vermeidung von Treibhausgas-Emissionen geschult und sollen verpflichtet werden, jährlich messbare Erfolge im Klimaschutz zur Veröffentlichung an die Stadt zu melden.";"Die Göttinger Industriebetriebe sollen die Möglichkeit bekommen, ihre messbaren Erfolge im Klimaschutz auf einer gemeinsamen Webseite der Stadt darzustellen.";"Die Industrie in Göttingen soll im Rahmen des Masterplan 100% Klimaschutz dringend auf die Notwendigkeit und Möglichkeit der Vermeidung von Treibhausgasen hingewiesen werden.";"Die Vermeidung von Treibhausgas-Emissionen durch die Industrie in Göttingen lässt sich nur auf Bundes-, allenfalls auf Landesebene erreichen.";"Die freie Entwicklung des Gewerbes, die kommunalen Einnahmen und der Erhalt von Arbeitsplätzen haben Vorrang."
"Versiegelung";"Die Erholungs- und Schutzgebiete sind in den vergangenen zehn Jahren in Göttingen um durchschnittlich 1% jährlich gesunken (Zahlen, Daten, Fakten 2010-2020, GöSiS) und sind damit von Flächenversiegelung bedroht. Dadurch verschlechtern sich die CO2-Bilanz und die Möglichkeiten zu Klimaanpassung der Stadt erheblich. Ist Ihre Partei bereit, diese Entwicklung zu stoppen und durch geeignete Maßnahmen wieder mehr Erholungs- und Schutzgebiete zu schaffen?";"ja, zusätzlich zu Bestands-Weiterentwicklung und Flächenmoratorium für Neubaugebiete sollen Erholungs- und Schutzgebiete durch Renaturierung zurückgewonnen werden.";"ja, durch ein Flächenmoratorium für Neubaugebiete soll der Verlust an Schutzgebieten gestoppt werden.";"ja, durch ein Flächenmoratorium für Industrie-Neubaugebiete soll der Verlust an Schutzgebieten gestoppt werden.";"ja, durch Bestands-Weiterentwicklung (Wohnungstausch, Einliegerwohnung etc.) soll der Verlust an Schutzgebieten gestoppt werden.";"nein, im Gegenteil müssen größere Teile der Grünflächen der Stadt in Gebiete für Gewerbe und Wohnen umgewandelt werden können."
"Qualitätsstandards";"Was wollen Sie tun, um die Gemeinschaftsverpflegung in kommunaler Hand nachhaltiger zu gestalten? <br> <br>  <em>Qualitätsstandards der Deutschen Gesellschaft für Ernährung (DGE) für KiTa, Schul- und Betriebs-, Seniorenverpflegung umsetzen: </em>";"Muss";"Soll";"Empfehlung";"Information";"kein Handlungsbedarf"
"Konkurrierende Angebote";"Was wollen Sie tun, um die Gemeinschaftsverpflegung in kommunaler Hand nachhaltiger zu gestalten? <br> <br> <em>kompetitive Verpflegungsangebote (private Cafeterien, Kioske und Verkaufsautomaten, Ausgabe zuckerhaltiger Getränke) regulieren, Leitungswasser kostenlos anbieten ";"Muss";"Soll";"Empfehlung";"Information";"kein Handlungsbedarf </em>"
"Vertragsgestaltung";"Was wollen Sie tun, um die Gemeinschaftsverpflegung in kommunaler Hand nachhaltiger zu gestalten? <em> <br> <br>Zielvereinbarungen mit den Verantwortlichen in Richtung einer Steigerung des Anteils von Lebensmitteln aus transparenten, fairen und möglichst regionalen Wertschöpfungsketten sowie von ökologisch erzeugten Lebensmitteln aushandeln, Ziele in Ausschreibungstexten spezifizieren </em>";"Muss";"Soll";"Empfehlung";"Information";"kein Handlungsbedarf"
"Beitragsfreiheit";"Was wollen Sie tun, um die Gemeinschaftsverpflegung in kommunaler Hand nachhaltiger zu gestalten? <br> <br><em>Schrittweise Beitragsfreiheit in der KiTa- und Schulverpflegung einführen</em>";"Muss";"Soll";"Empfehlung";"Information";"kein Handlungsbedarf"
